choose_y,"precision_stay, %","precision_drop, %","recall_stay, %","recall_drop, %","recall_general, %","accuracy, %",clf,wave,class proportions,ROC AUC,Cohen’s kappa
all features,0.812,0.254,0.552,0.544,0.548,0.55,SVM_C,1,0.28,0.731,0.068
personal only,0.867,0.154,0.511,0.531,0.521,0.514,LR,2,0.168,0.665,0.021
personal only,0.866,0.153,0.509,0.531,0.52,0.512,SVM_def,2,0.168,0.665,0.019
"pers+engin, age_gender",0.884,0.185,0.616,0.519,0.568,0.602,LR,2,0.168,0.73,0.077
"pers+engin, age_gender",0.882,0.181,0.614,0.508,0.561,0.599,SVM_def,2,0.168,0.728,0.07
personal+engineered,0.878,0.175,0.608,0.497,0.552,0.592,LR,2,0.168,0.714,0.059
personal+engineered,0.879,0.178,0.614,0.497,0.555,0.597,SVM_def,2,0.168,0.715,0.063
personal only,0.857,0.145,0.518,0.486,0.502,0.514,DT,2,0.168,0.596,0.002
all features,0.803,0.249,0.594,0.479,0.536,0.569,SVM_def,1,0.28,0.769,0.055
all features,0.802,0.248,0.593,0.477,0.535,0.568,LR,1,0.28,0.766,0.053
all features,0.875,0.243,0.719,0.468,0.594,0.679,SVM_def,5,0.193,0.878,0.136
all features,0.868,0.16,0.597,0.458,0.528,0.577,SVM_C,2,0.168,0.778,0.031
all features,0.871,0.238,0.728,0.44,0.584,0.681,LR,5,0.193,0.873,0.125
all features,0.878,0.209,0.743,0.397,0.57,0.693,SVM_def,3,0.171,0.917,0.102
all features,0.866,0.163,0.675,0.378,0.526,0.632,SVM_def,2,0.168,0.836,0.034
all features,0.864,0.161,0.692,0.353,0.522,0.643,LR,2,0.168,0.84,0.03
all features,0.88,0.189,0.76,0.35,0.555,0.704,SVM_def,4,0.16,0.93,0.081
all features,0.87,0.191,0.75,0.346,0.548,0.691,LR,3,0.171,0.885,0.072
all features,0.873,0.179,0.794,0.281,0.537,0.723,LR,4,0.16,0.951,0.06
